subject_type,subject_id,region_code,variable,value_num,value_txt,unit,quality,note
municipality,ABADIA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ABADIA,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ACEBO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ACEBO,ES-EX,zar_zone,,SIERRA DE GATA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ACEITUNA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ACEITUNA,ES-EX,zar_zone,,SIERRA DE GATA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALANGE,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALANGE,ES-EX,zar_zone,,SIERRAS CENTRALES DE BADAJOZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALBURQUERQUE,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALBURQUERQUE,ES-EX,zar_zone,,SIERRA DE SAN PEDRO + VALENCIA DE ALCÁNTARA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALCUESCAR,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALCUESCAR,ES-EX,zar_zone,,SIERRA DE SAN PEDRO,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALDEANUEVA DE LA VERA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALDEANUEVA DE LA VERA,ES-EX,zar_zone,,VERA-TIETAR,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALDEANUEVA DEL CAMINO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALDEANUEVA DEL CAMINO,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALISEDA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALISEDA,ES-EX,zar_zone,,SIERRA DE SAN PEDRO,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALMARAZ,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALMARAZ,ES-EX,zar_zone,,IBORES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALMOHARÍN,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ALMOHARÍN,ES-EX,zar_zone,,MONTÁNCHEZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ARROYOMOLINOS,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ARROYOMOLINOS,ES-EX,zar_zone,,MONTÁNCHEZ + SIERRA DE SAN PEDRO,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ARROYOMOLINOS DE LA VERA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ARROYOMOLINOS DE LA VERA,ES-EX,zar_zone,,VERA-TIETAR,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BADAJOZ,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BADAJOZ,ES-EX,zar_zone,,SIERRA DE SAN PEDRO,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BAÑOS DE MONTEMAYOR,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BAÑOS DE MONTEMAYOR,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BARRADO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BARRADO,ES-EX,zar_zone,,VERA-TIETAR,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BATERNO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
